Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,April,5,1,0.2,20,24,0,0.5211308885964937,1,1,4,5,0,2,1,0,0,0.5211308885964937,4
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,May,10,7,0.7,132,102,0,0.6983456960903262,5,2,27,34,0,7,1,0,0,0.6983456960903262,27
Pinar Villamanrique Este (Chaparral),3,1,Cistus_crispus,3-1 Cistus_crispus,April,1,1,0.999,4,8,0,0.9275138195828253,1,2,43,1,0,1,1,0,0,0.9275138195828253,43
Pinar Villamanrique Este (Chaparral),3,9,Cistus_ladanifer,3-9 Cistus_ladanifer,March,10,3,0.3,60,25,0,0.7997290020348545,2,1,16,11,0,3,1,0,0,0.7997290020348545,16
Pinar Villamanrique Este (Chaparral),4,7,Cistus_crispus,4-7 Cistus_crispus,April,5,5,0.999,8,0,8,0.5090384453742144,1,1,6,2,1,1,0,1,0.5,0.5090384453742144,6
Pinar Villamanrique Este (Chaparral),4,7,Cistus_crispus,4-7 Cistus_crispus,May,5,3,0.6,3,9,0,0.4835829115889357,1,1,5,1,0,1,1,0,0,0.4835829115889357,5
Pinar Villamanrique Este (Chaparral),4,10,Cistus_ladanifer,4-10 Cistus_ladanifer,March,4,2,0.5,25,15,0,0.6909731109891465,1,2,376,5,0,1,1,0,0,0.6909731109891465,376
Pinar Villamanrique Este (Chaparral),5,4,Cistus_crispus,5-4 Cistus_crispus,April,6,4,0.6666666666666666,223,118,16,0.8540266876148774,5,2,35,51,2,10,0.8805970149253731,0.11940298507462686,0.0392156862745098,0.8540266876148774,35
Pinar Villamanrique Este (Chaparral),5,4,Cistus_crispus,5-4 Cistus_crispus,May,10,9,0.9,136,108,0,0.9659094750054509,7,1,30,39,0,9,1,0,0,0.9659094750054509,30
Pinar Villamanrique Este (Chaparral),5,5,Cistus_crispus,5-5 Cistus_crispus,April,5,3,0.6,12,24,0,0.40364632904881,2,2,12,3,0,2,1,0,0,0.40364632904881,12
Pinar Villamanrique Este (Chaparral),5,5,Cistus_crispus,5-5 Cistus_crispus,May,6,2,0.3333333333333333,177,44,0,0.89429592940596,3,1,22,45,0,5,1,0,0,0.89429592940596,22
Pinar Villamanrique Este (Chaparral),5,10,Cistus_ladanifer,5-10 Cistus_ladanifer,March,10,3,0.3,85,45,15,0.8546380724660582,4,1,32,13,0,4,0.75,0.25,0,0.8546380724660582,32
Pinar Villamanrique Este (Chaparral),6,1,Cistus_crispus,6-1 Cistus_crispus,April,1,0,0.001,25,38,0,0.4946752084225121,2,1,3,5,0,4,1,0,0,0.4946752084225121,3
Pinar Villamanrique Este (Chaparral),6,4,Cistus_crispus,6-4 Cistus_crispus,April,8,6,0.75,436,98,12,0.8360903964866553,4,2,33,102,0,10,0.8909090909090909,0.10909090909090909,0,0.8360903964866553,33
Pinar Villamanrique Este (Chaparral),6,4,Cistus_crispus,6-4 Cistus_crispus,May,10,7,0.7,147,77,0,0.9227956117896122,5,1,25,45,0,6,1,0,0,0.9227956117896122,25
Pinar Villamanrique Este (Chaparral),6,5,Cistus_crispus,6-5 Cistus_crispus,April,1,1,0.999,30,56,4,0.2421162237200711,4,3,19,7,0,6,0.9333333333333333,0.06666666666666667,0,0.2421162237200711,19
Pinar Villamanrique Este (Chaparral),7,1,Cistus_crispus,7-1 Cistus_crispus,April,5,5,0.999,76,16,0,0.8683644987316769,2,2,37,17,0,3,1,0,0,0.8683644987316769,37
Pinar Villamanrique Este (Chaparral),7,1,Cistus_crispus,7-1 Cistus_crispus,May,11,11,0.999,45,36,0,0.956578159131977,3,1,30,13,0,4,1,0,0,0.956578159131977,30
Pinar Villamanrique Este (Chaparral),7,9,Cistus_ladanifer,7-9 Cistus_ladanifer,March,5,1,0.2,36,14,9,0.8108127131747261,3,2,22,7,0,4,0.6086956521739131,0.391304347826087,0,0.8108127131747261,22
Pinar Villamanrique Este (Chaparral),7,9,Cistus_ladanifer,7-9 Cistus_ladanifer,April,20,15,0.75,39,5,10,0.999807982797318,2,2,68,12,1,4,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.999807982797318,68
Pinar Villamanrique Este (Chaparral),8,3,Cistus_ladanifer,8-3 Cistus_ladanifer,March,4,3,0.75,21,6,0,0.4908003140088351,2,2,6,6,0,2,1,0,0,0.4908003140088351,6
Pinar Villamanrique Este (Chaparral),9,5,Cistus_crispus,9-5 Cistus_crispus,May,6,6,0.999,30,3,0,0.5815508529024193,1,1,11,9,0,1,1,0,0,0.5815508529024193,11
Pinar Villamanrique Este (Chaparral),10,2,Cistus_ladanifer,10-2 Cistus_ladanifer,March,10,2,0.2,309,12,0,0.5675296095417518,8,1,37,65,0,12,1,0,0,0.5675296095417518,37
